policy,n_operations,mean_travel_time,median_travel_time,total_travel_time,mean_storage_time,mean_retrieval_time,blocking_rate,blocked_count,retrieval_count,items_missing,final_fill_grade
random,465,21.61015053763441,20.4,10048.720000000001,20.38661417322834,23.083033175355453,0.17061611374407584,36,211,35,0.5375
abc,465,21.85574193548387,21.799999999999997,10162.92,21.104724409448817,22.759810426540284,0.10900473933649289,23,211,35,0.5375
ga,465,17.802150537634407,16.8,8278.0,17.062204724409447,18.69289099526066,0.15639810426540285,33,211,35,0.5375
exact,465,18.330408602150538,16.2,8523.64,16.80314960629921,20.168909952606633,0.27014218009478674,57,211,35,0.5375
